time,coord_x,coord_y
21.48324,0.390334,0.710539
21.49725,0.386821,0.713321
21.51114,0.383592,0.715807
21.52489,0.380566,0.718009
21.53899,0.377605,0.719989
21.55285,0.374749,0.721738
21.5666,0.371914,0.723408
21.58055,0.36906,0.725161
21.59462,0.366312,0.72699
21.60847,0.363688,0.728927
21.62243,0.361101,0.731106
21.63638,0.35841,0.733556
21.6502,0.355681,0.736118
21.66415,0.352927,0.738697
21.67812,0.350211,0.741329
21.69198,0.347625,0.743939
21.70597,0.345022,0.746565
21.71984,0.342447,0.748978
21.73374,0.339898,0.751161
21.7476,0.337433,0.753205
21.76168,0.33495,0.755212
21.7756,0.33258,0.757131
21.78943,0.33036,0.758885
21.80342,0.328203,0.760424
21.81725,0.326045,0.761791
21.83117,0.323749,0.763099
21.84521,0.321216,0.764382
21.85898,0.318575,0.765558
21.87297,0.315933,0.766631
21.88682,0.313431,0.767638
21.90079,0.311163,0.7686
21.91472,0.309152,0.769554
21.92886,0.307455,0.770434
21.94251,0.306046,0.771217
21.95658,0.304886,0.771918
21.97039,0.304002,0.772474
21.98437,0.303315,0.7729
21.99833,0.302733,0.773255
22.01226,0.302296,0.773508
22.02619,0.301977,0.773708
22.03994,0.301768,0.773858
22.05402,0.301632,0.773972
22.06785,0.301545,0.77406
22.08187,0.301481,0.774126
22.09566,0.301446,0.774152
22.10969,0.301413,0.774175
22.12355,0.301384,0.774194
22.13742,0.301359,0.774212
22.1514,0.301337,0.774228
22.16526,0.30135,0.774218
22.17924,0.301379,0.774184
22.19308,0.301416,0.774125
22.20706,0.30146,0.774034
22.221,0.301516,0.773887
22.23495,0.301601,0.773643
22.24881,0.301725,0.77332
22.26277,0.301904,0.772937
22.27667,0.30211,0.772555
22.29059,0.30236,0.772149
22.30451,0.302673,0.771669
22.3184,0.303082,0.771079
22.33232,0.303582,0.770401
22.34631,0.304199,0.769633
22.36031,0.304947,0.768775
22.37413,0.305875,0.767768
22.38816,0.307066,0.766522
22.40212,0.308492,0.765045
22.41586,0.310179,0.763355
22.42993,0.312184,0.761444
22.4437,0.314386,0.759438
22.45769,0.316862,0.757247
22.47164,0.319559,0.754828
22.48559,0.322403,0.752241
22.49956,0.325264,0.749533
22.51339,0.328109,0.74671
22.52724,0.331031,0.74368
22.54124,0.334068,0.740499
22.55514,0.337254,0.737131
22.56902,0.340632,0.733539
22.58294,0.344225,0.7298
22.597,0.347832,0.726011
22.61075,0.35127,0.722417
22.62469,0.354883,0.718673
22.63864,0.358618,0.714887
22.65266,0.362509,0.711102
22.66637,0.36623,0.707721
22.68044,0.369799,0.704629
22.69456,0.373212,0.701755
22.7082,0.37645,0.69906
22.72214,0.379771,0.6963
22.73605,0.382971,0.693651
22.74994,0.386037,0.691197
22.76409,0.388934,0.688864
22.77783,0.391667,0.686686
22.79191,0.394483,0.684425
22.80571,0.397337,0.682124
22.81961,0.400195,0.679817
22.83344,0.402898,0.677683
22.84766,0.405411,0.675786
22.86138,0.407678,0.674091
22.87533,0.410026,0.672364
22.88922,0.412509,0.670479
22.90328,0.415288,0.668398
22.91699,0.418009,0.666336
